validation_total_N,n_pass,n_fail,theta,target_size_m,tpr,tnr,J,method,outer_replications,bootstrap_draws,report_rate,conditional_coverage,coverage_wilson_low,coverage_wilson_high,operational_coverage,operational_coverage_wilson_low,operational_coverage_wilson_high,mean_width,nonfinite_interval_rate,observed_nonpositive_J_rate,pooled_missing_class_draw_rate,pooled_nonpositive_J_draw_rate,fixed_nonpositive_J_draw_rate,pooled_missing_class_draw_rate_when_attempted,pooled_nonpositive_J_draw_rate_when_attempted,fixed_nonpositive_J_draw_rate_when_attempted
100,50,50,0.8,2000,0.6,0.6,0.2,textbook,20000,1000,0.97125,0.9479021879021879,0.9446876180343128,0.9509396398689086,0.92065,0.9168228289281491,0.92431561113785,0.6840737861912389,0.02875,0.02875,0.0,0.0781342,0.08657655,0.0,0.06253477477477477,0.07029353925353925
100,50,50,0.8,2000,0.6,0.6,0.2,plus_target,20000,1000,0.97125,0.9518146718146718,0.9487126852554458,0.9547379933248222,0.92445,0.9207053135340174,0.9280316670579553,0.6949658486167106,0.02875,0.02875,0.0,0.0781342,0.08657655,0.0,0.06253477477477477,0.07029353925353925
100,50,50,0.8,2000,0.6,0.6,0.2,plus_fixed_strata,20000,1000,0.97125,0.9493436293436294,0.9461699387313989,0.9523396320528397,0.92205,0.9182529143796924,0.9256849879853498,0.6901273882800625,0.02875,0.02875,0.0,0.0781342,0.08657655,0.0,0.06253477477477477,0.07029353925353925
100,50,50,0.8,2000,0.6,0.6,0.2,plus_boundary_rule,20000,1000,0.97125,0.9717374517374517,0.969312052103622,0.9739763080821338,0.9438,0.9405221022580361,0.9469074465385654,0.8131079485924148,0.02875,0.02875,0.0,0.0781342,0.08657655,0.0,0.06253477477477477,0.07029353925353925
100,50,50,0.8,2000,0.6,0.6,0.2,plus_endpoint_quantiles,20000,1000,0.97125,0.9717374517374517,0.969312052103622,0.9739763080821338,0.9438,0.9405221022580361,0.9469074465385654,0.8131209360334953,0.02875,0.02875,0.0,0.0781342,0.08657655,0.0,0.06253477477477477,0.07029353925353925
100,50,50,0.8,2000,0.65,0.65,0.3,textbook,20000,1000,0.99855,0.9466226027740223,0.9434182637419156,0.9496551574802824,0.94525,0.9420108242867391,0.9483181676052999,0.5173364661967977,0.00145,0.00145,0.0,0.01550645,0.0176092,0.0,0.014671223273746934,0.01673231185218567
100,50,50,0.8,2000,0.65,0.65,0.3,plus_target,20000,1000,0.99855,0.9522808071703971,0.949236336166503,0.955151317534882,0.9509,0.9478178299343455,0.9538089919502594,0.5270097408572293,0.00145,0.00145,0.0,0.01550645,0.0176092,0.0,0.014671223273746934,0.01673231185218567
100,50,50,0.8,2000,0.65,0.65,0.3,plus_fixed_strata,20000,1000,0.99855,0.9502779029592909,0.9471756256015422,0.9532069900541129,0.9489,0.9457610868239016,0.9518665032049275,0.5240695867745936,0.00145,0.00145,0.0,0.01550645,0.0176092,0.0,0.014671223273746934,0.01673231185218567
100,50,50,0.8,2000,0.65,0.65,0.3,plus_boundary_rule,20000,1000,0.99855,0.96224525562065,0.9595116337917791,0.9648010841871124,0.96085,0.9580723170677995,0.9634506832992887,0.5819661740902293,0.00145,0.00145,0.0,0.01550645,0.0176092,0.0,0.014671223273746934,0.01673231185218567
100,50,50,0.8,2000,0.65,0.65,0.3,plus_endpoint_quantiles,20000,1000,0.99855,0.96224525562065,0.9595116337917791,0.9648010841871124,0.96085,0.9580723170677995,0.9634506832992887,0.5819782092219586,0.00145,0.00145,0.0,0.01550645,0.0176092,0.0,0.014671223273746934,0.01673231185218567
100,50,50,0.8,2000,0.7,0.7,0.4,textbook,20000,1000,1.0,0.9375,0.9340605153591477,0.9407714530917608,0.9375,0.9340605153591477,0.9407714530917608,0.40406231819231603,0.0,0.0,0.0,0.00178065,0.0020911,0.0,0.00178065,0.0020911
100,50,50,0.8,2000,0.7,0.7,0.4,plus_target,20000,1000,1.0,0.942,0.9386748598012777,0.9451553803251256,0.942,0.9386748598012777,0.9451553803251256,0.41152381358344303,0.0,0.0,0.0,0.00178065,0.0020911,0.0,0.00178065,0.0020911
100,50,50,0.8,2000,0.7,0.7,0.4,plus_fixed_strata,20000,1000,1.0,0.9413,0.9379567269717686,0.9444737820051134,0.9413,0.9379567269717686,0.9444737820051134,0.4096414511808274,0.0,0.0,0.0,0.00178065,0.0020911,0.0,0.00178065,0.0020911
100,50,50,0.8,2000,0.7,0.7,0.4,plus_boundary_rule,20000,1000,1.0,0.9459,0.942678381663012,0.9489503605821539,0.9459,0.942678381663012,0.9489503605821539,0.41865984573318776,0.0,0.0,0.0,0.00178065,0.0020911,0.0,0.00178065,0.0020911
100,50,50,0.8,2000,0.7,0.7,0.4,plus_endpoint_quantiles,20000,1000,1.0,0.9459,0.942678381663012,0.9489503605821539,0.9459,0.942678381663012,0.9489503605821539,0.41866313696027346,0.0,0.0,0.0,0.00178065,0.0020911,0.0,0.00178065,0.0020911
100,50,50,0.8,2000,0.875,0.875,0.75,textbook,20000,1000,1.0,0.92735,0.9236700751702992,0.9308657916125481,0.92735,0.9236700751702992,0.9308657916125481,0.20078216397397985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,50,50,0.8,2000,0.875,0.875,0.75,plus_target,20000,1000,1.0,0.9353,0.9318064447614598,0.9386263686480956,0.9353,0.9318064447614598,0.9386263686480956,0.20721261217415093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,50,50,0.8,2000,0.875,0.875,0.75,plus_fixed_strata,20000,1000,1.0,0.93425,0.9307310383776084,0.9376021783076647,0.93425,0.9307310383776084,0.9376021783076647,0.20611051313045495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,50,50,0.8,2000,0.875,0.875,0.75,plus_boundary_rule,20000,1000,1.0,0.93425,0.9307310383776084,0.9376021783076647,0.93425,0.9307310383776084,0.9376021783076647,0.20611051313045495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,50,50,0.8,2000,0.875,0.875,0.75,plus_endpoint_quantiles,20000,1000,1.0,0.93425,0.9307310383776084,0.9376021783076647,0.93425,0.9307310383776084,0.9376021783076647,0.20611066790095628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,20,20,0.8,2000,0.6,0.6,0.2,textbook,20000,1000,0.86605,0.9366664742220426,0.932941566364354,0.9401977368699798,0.8112,0.8057166999469012,0.8165637768117793,0.7957951134237129,0.13395,0.13395,0.0,0.1893537,0.21069825,0.0,0.11993851394261301,0.13786040066970728
40,20,20,0.8,2000,0.6,0.6,0.2,plus_target,20000,1000,0.86605,0.9382252756769239,0.934541928908213,0.941714285965881,0.81255,0.8070813662012618,0.8178985920600671,0.7995148530227223,0.13395,0.13395,0.0,0.1893537,0.21069825,0.0,0.11993851394261301,0.13786040066970728
40,20,20,0.8,2000,0.6,0.6,0.2,plus_fixed_strata,20000,1000,0.86605,0.9347035390566365,0.9309271819752929,0.9382871214163799,0.8095,0.803998381019682,0.8148827486615893,0.7914490987728076,0.13395,0.13395,0.0,0.1893537,0.21069825,0.0,0.11993851394261301,0.13786040066970728
40,20,20,0.8,2000,0.6,0.6,0.2,plus_boundary_rule,20000,1000,0.86605,0.965417701056521,0.9625917382660929,0.9680372685460419,0.8361,0.8309051379260666,0.8411657754370199,0.9071708837617432,0.13395,0.13395,0.0,0.1893537,0.21069825,0.0,0.11993851394261301,0.13786040066970728
40,20,20,0.8,2000,0.6,0.6,0.2,plus_endpoint_quantiles,20000,1000,0.86605,0.965417701056521,0.9625917382660929,0.9680372685460419,0.8361,0.8309051379260666,0.8411657754370199,0.9071741632930581,0.13395,0.13395,0.0,0.1893537,0.21069825,0.0,0.11993851394261301,0.13786040066970728
40,20,20,0.8,2000,0.65,0.65,0.3,textbook,20000,1000,0.9633,0.9397383992525693,0.9362896434791158,0.9430118305993825,0.90525,0.9011129339884565,0.9092314207880707,0.6892488041178497,0.0367,0.0367,0.0,0.08792415,0.10013485,0.0,0.06816116474618499,0.07910744316412333
40,20,20,0.8,2000,0.65,0.65,0.3,plus_target,20000,1000,0.9633,0.9423336447627946,0.9389529451357377,0.9455379852345367,0.90775,0.9036608097842345,0.911682584812012,0.6939122086889734,0.0367,0.0367,0.0,0.08792415,0.10013485,0.0,0.06816116474618499,0.07910744316412333
40,20,20,0.8,2000,0.65,0.65,0.3,plus_fixed_strata,20000,1000,0.9633,0.9385445863178656,0.9350651230730266,0.9418492011112548,0.9041,0.8999412022415355,0.9081035942179206,0.6848142476227242,0.0367,0.0367,0.0,0.08792415,0.10013485,0.0,0.06816116474618499,0.07910744316412333
40,20,20,0.8,2000,0.65,0.65,0.3,plus_boundary_rule,20000,1000,0.9633,0.9594622651302813,0.9565846297340274,0.9621567121619675,0.92425,0.9205009063221521,0.9278361510842432,0.8027926535804552,0.0367,0.0367,0.0,0.08792415,0.10013485,0.0,0.06816116474618499,0.07910744316412333
40,20,20,0.8,2000,0.65,0.65,0.3,plus_endpoint_quantiles,20000,1000,0.9633,0.9594622651302813,0.9565846297340274,0.9621567121619675,0.92425,0.9205009063221521,0.9278361510842432,0.8027996348063255,0.0367,0.0367,0.0,0.08792415,0.10013485,0.0,0.06816116474618499,0.07910744316412333
40,20,20,0.8,2000,0.7,0.7,0.4,textbook,20000,1000,0.99415,0.9353216315445355,0.9318180898896123,0.9386569946453328,0.92985,0.9262272372711087,0.9333076693314581,0.5720869324544814,0.00585,0.00585,0.0,0.03230795,0.0376308,0.0,0.029077805160187094,0.03416838505255746
40,20,20,0.8,2000,0.7,0.7,0.4,plus_target,20000,1000,0.99415,0.9367801639591611,0.93331245180949,0.9400791340773718,0.9313,0.9277109822692385,0.9347233674287657,0.576202367666937,0.00585,0.00585,0.0,0.03230795,0.0376308,0.0,0.029077805160187094,0.03416838505255746
40,20,20,0.8,2000,0.7,0.7,0.4,plus_fixed_strata,20000,1000,0.99415,0.9344666297842378,0.9309423163598988,0.9378230949687506,0.929,0.9253576596135941,0.9324775734502683,0.5681878590324941,0.00585,0.00585,0.0,0.03230795,0.0376308,0.0,0.029077805160187094,0.03416838505255746
40,20,20,0.8,2000,0.7,0.7,0.4,plus_boundary_rule,20000,1000,0.99415,0.9487501886033295,0.9455975847471405,0.9517294260278637,0.9432,0.9399062548077611,0.9463235244321079,0.6498441349830959,0.00585,0.00585,0.0,0.03230795,0.0376308,0.0,0.029077805160187094,0.03416838505255746
40,20,20,0.8,2000,0.7,0.7,0.4,plus_endpoint_quantiles,20000,1000,0.99415,0.9487501886033295,0.9455975847471405,0.9517294260278637,0.9432,0.9399062548077611,0.9463235244321079,0.6498492617178204,0.00585,0.00585,0.0,0.03230795,0.0376308,0.0,0.029077805160187094,0.03416838505255746
40,20,20,0.8,2000,0.875,0.875,0.75,textbook,20000,1000,1.0,0.9159,0.9119732663832091,0.9196669980253233,0.9159,0.9119732663832091,0.9196669980253233,0.2740989663981614,0.0,0.0,0.0,5.04e-05,6.115e-05,0.0,5.04e-05,6.115e-05
40,20,20,0.8,2000,0.875,0.875,0.75,plus_target,20000,1000,1.0,0.91735,0.913453258300793,0.9210864492031763,0.91735,0.913453258300793,0.9210864492031763,0.2787956825554948,0.0,0.0,0.0,5.04e-05,6.115e-05,0.0,5.04e-05,6.115e-05
40,20,20,0.8,2000,0.875,0.875,0.75,plus_fixed_strata,20000,1000,1.0,0.91605,0.912126353070368,0.9198138537273473,0.91605,0.912126353070368,0.9198138537273473,0.27595670250485616,0.0,0.0,0.0,5.04e-05,6.115e-05,0.0,5.04e-05,6.115e-05
