study,scenario_key,regime,method,theta,validation_tpr,validation_tnr,target_tpr,target_tnr,target_size_m,validation_total_N,n_pass,n_fail,rho_target,rho_actual,sensitivity_decline,specificity_decline,replications,coverage_count,coverage,coverage_wilson_low,coverage_wilson_high,coverage_mcse,bias,bias_mcse,bias_mc95_low,bias_mc95_high,rmse,empirical_sd,mean_width,mean_width_mcse,rms_raw_bootstrap_sd,rms_analytic_se,rms_reported_se,se_calibration_ratio,se_calibration_ratio_low,se_calibration_ratio_high,weak_j_fraction,discarded_fraction,analytic_bias,empirical_minus_analytic_bias
A,"A|low success, N=200|rho_target=0.05|m=5361|N=200","low success, N=200",textbook_validation_only,0.2,0.875,0.875,0.875,0.875,5361,200,100,100,0.05,0.0500032133726462,nan,nan,5000,4684,0.9368,0.929714495585086,0.9432148399957121,0.0034410974993452316,-0.00018973853352710623,0.0005286244953859285,-0.001225823505829186,0.0008463464387749736,0.037376140015578395,0.037379396538870686,0.14484021093222585,0.00038315605548861766,0.03796843301796665,nan,0.03796843301796665,1.0157583196530053,0.9977372516490681,1.0346440541840447,0.0,0.0,nan,nan
A,"A|low success, N=200|rho_target=0.05|m=5361|N=200","low success, N=200",full_fixed_stratum_bootstrap,0.2,0.875,0.875,0.875,0.875,5361,200,100,100,0.05,0.0500032133726462,nan,nan,5000,4715,0.943,0.9362271473719421,0.9490926687047372,0.00327874976172321,-0.00018973853352710623,0.0005286244953859285,-0.001225823505829186,0.0008463464387749736,0.037376140015578395,0.037379396538870686,0.1479904536426048,0.0003793110410541174,0.038751711392477,nan,0.038751711392477,1.036713135595414,1.015235179337097,1.0590252905915725,0.0,0.0,nan,nan
A,"A|low success, N=200|rho_target=0.05|m=5361|N=200","low success, N=200",delta_method,0.2,0.875,0.875,0.875,0.875,5361,200,100,100,0.05,0.0500032133726462,nan,nan,5000,4724,0.9448,0.9381217657086575,0.9507952866410198,0.0032296427046966053,-0.00018973853352710623,0.0005286244953859285,-0.001225823505829186,0.0008463464387749736,0.037376140015578395,0.037379396538870686,0.14619458814172723,0.00037071335307509683,nan,0.03799340801039381,0.03799340801039381,1.0164264682787112,0.9977025138599779,1.037082194476233,0.0,0.0,nan,nan
A,"A|low success, N=200|rho_target=0.10|m=2681|N=200","low success, N=200",textbook_validation_only,0.2,0.875,0.875,0.875,0.875,2681,200,100,100,0.1,0.09998777578916683,nan,nan,5000,4653,0.9306,0.9232202953833516,0.9373185597015653,0.0035939849749268573,-0.0007238648451294016,0.0005491279462853034,-0.0018001358427530416,0.00035240615249423836,0.03883207367332059,0.03882920945573803,0.14549815056031296,0.0003865611020793251,0.038128404113731265,nan,0.038128404113731265,0.9819515938688986,0.9636702560019762,1.0014198627469035,0.0,0.0,nan,nan
A,"A|low success, N=200|rho_target=0.10|m=2681|N=200","low success, N=200",full_fixed_stratum_bootstrap,0.2,0.875,0.875,0.875,0.875,2681,200,100,100,0.1,0.09998777578916683,nan,nan,5000,4713,0.9426,0.9358063672939007,0.9487140629443348,0.0032895361375124004,-0.0007238648451294016,0.0005491279462853034,-0.0018001358427530416,0.00035240615249423836,0.03883207367332059,0.03882920945573803,0.15221564071041987,0.00037597167219303616,0.03980787248081018,nan,0.03980787248081018,1.0252042995154909,1.0068506040070853,1.046225545593282,0.0,0.0,nan,nan
A,"A|low success, N=200|rho_target=0.10|m=2681|N=200","low success, N=200",delta_method,0.2,0.875,0.875,0.875,0.875,2681,200,100,100,0.1,0.09998777578916683,nan,nan,5000,4709,0.9418,0.9349650691832874,0.9479565893780602,0.0033109744789110054,-0.0007238648451294016,0.0005491279462853034,-0.0018001358427530416,0.00035240615249423836,0.03883207367332059,0.03882920945573803,0.15036671155795253,0.00036935292793575654,nan,0.03904067671031231,0.03904067671031231,1.0054460870447373,0.9850648130975854,1.0244246284597975,0.0,0.0,nan,nan
A,"A|low success, N=200|rho_target=0.20|m=1340|N=200","low success, N=200",textbook_validation_only,0.2,0.875,0.875,0.875,0.875,1340,200,100,100,0.2,0.20005016932145991,nan,nan,5000,4560,0.912,0.9038279618504007,0.9195394517468723,0.004006394888175652,-0.001395309912061632,0.0005848008473158809,-0.0025414985109292656,-0.00024912131319399823,0.041371065405988,0.041351664478069816,0.1453913655519597,0.0003873852557365012,0.03819979014190982,nan,0.03819979014190982,0.9237787795015715,0.9050487328343385,0.9417258639108435,0.0,0.0,nan,nan
A,"A|low success, N=200|rho_target=0.20|m=1340|N=200","low success, N=200",full_fixed_stratum_bootstrap,0.2,0.875,0.875,0.875,0.875,1340,200,100,100,0.2,0.20005016932145991,nan,nan,5000,4696,0.9392,0.932233191279953,0.9454924593315089,0.003379448475713159,-0.001395309912061632,0.0005848008473158809,-0.0025414985109292656,-0.00024912131319399823,0.041371065405988,0.041351664478069816,0.15854206829139605,0.00036760057687868733,0.04145546307073245,nan,0.04145546307073245,1.0025101430371124,0.983914459456869,1.0215326888880767,0.0,0.0,nan,nan
A,"A|low success, N=200|rho_target=0.20|m=1340|N=200","low success, N=200",delta_method,0.2,0.875,0.875,0.875,0.875,1340,200,100,100,0.2,0.20005016932145991,nan,nan,5000,4693,0.9386,0.9316032506290377,0.9449233212247583,0.003394997496317192,-0.001395309912061632,0.0005848008473158809,-0.0025414985109292656,-0.00024912131319399823,0.041371065405988,0.041351664478069816,0.15681281410391767,0.0003615031596521363,nan,0.040721539958649314,0.040721539958649314,0.9847618100172321,0.966035499854622,1.0039687056555915,0.0,0.0,nan,nan
A,"A|low success, N=200|rho_target=0.40|m=670|N=200","low success, N=200",textbook_validation_only,0.2,0.875,0.875,0.875,0.875,670,200,100,100,0.4,0.40010033864291983,nan,nan,5000,4464,0.8928,0.8839213682108477,0.9010755251411157,0.004375115084200643,-0.0018605713528107581,0.0006175000441907977,-0.0030708491998766136,-0.0006502935057449027,0.043699106882549785,0.043663846863030584,0.1456692872346255,0.00038504114886452593,0.03830918423238828,nan,0.03830918423238828,0.8773662190727404,0.860447910350069,0.8932157285866144,0.0,0.0,nan,nan
A,"A|low success, N=200|rho_target=0.40|m=670|N=200","low success, N=200",full_fixed_stratum_bootstrap,0.2,0.875,0.875,0.875,0.875,670,200,100,100,0.4,0.40010033864291983,nan,nan,5000,4718,0.9436,0.9368584836941273,0.9496604111402182,0.0032624849424939878,-0.0018605713528107581,0.0006175000441907977,-0.0030708491998766136,-0.0006502935057449027,0.043699106882549785,0.043663846863030584,0.17115635102609902,0.0003580543726352221,0.044702519215754064,nan,0.044702519215754064,1.0237879258779397,1.0063116053838723,1.0420985852677955,0.0,0.0,nan,nan
A,"A|low success, N=200|rho_target=0.40|m=670|N=200","low success, N=200",delta_method,0.2,0.875,0.875,0.875,0.875,670,200,100,100,0.4,0.40010033864291983,nan,nan,5000,4737,0.9474,0.9408617705245412,0.9532512897750218,0.0031569998416217885,-0.0018605713528107581,0.0006175000441907977,-0.0030708491998766136,-0.0006502935057449027,0.043699106882549785,0.043663846863030584,0.16960807341544543,0.0003502034214449533,nan,0.04398320431492732,0.04398320431492732,1.0073140017392084,0.9874999935964565,1.0278386236805945,0.0,0.0,nan,nan
A,"A|low success, N=200|rho_target=0.75|m=357|N=200","low success, N=200",textbook_validation_only,0.2,0.875,0.875,0.875,0.875,357,200,100,100,0.75,0.7508885907304097,nan,nan,5000,4286,0.8572,0.8472279327310632,0.8666236209993881,0.004947891672217573,-0.0007677384334676685,0.0006826449719800758,-0.0021056979927759714,0.0005702211258406344,0.048271567273011205,0.048270288883001236,0.1451264089965584,0.0003764178918151104,0.03821317983317953,nan,0.03821317983317953,0.7916501168203409,0.7758954127488912,0.8084884534212736,0.0,0.0,nan,nan
A,"A|low success, N=200|rho_target=0.75|m=357|N=200","low success, N=200",full_fixed_stratum_bootstrap,0.2,0.875,0.875,0.875,0.875,357,200,100,100,0.75,0.7508885907304097,nan,nan,5000,4748,0.9496,0.9431834964737694,0.9553261859372354,0.0030938597253269257,-0.0007677384334676685,0.0006826449719800758,-0.0021056979927759714,0.0005702211258406344,0.048271567273011205,0.048270288883001236,0.1903727331862111,0.00033988078684731547,0.04965987572476488,nan,0.04965987572476488,1.0287876222396712,1.0087866941077586,1.0494975560492672,0.0,0.0,nan,nan
